
SEQUÊNCIA 09
============

TEMPO   DIR   KMH * +
-----   ---   --- - -
550757   <-   062    
551759   ->   034    
552092   <-   067   +
552641   ->   041    
553392   <-   066    
554225   ->   038    
554609   <-   063    
555092   ->   042    
555776   <-   070    
556242   ->   042    
556891   <-   070    
557357   ->   040    
558124   <-   073    
558507   ->   041    
559192   <-   069    
559708   ->   044    
560341   <-   073    
560758   ->   041    
561492   <-   055    
562142   ->   039    
562926   <-   044    
563576   ->   074    
564692   <-   033    


SEQUÊNCIA 10
============

TEMPO   DIR   KMH * +
-----   ---   --- - -
588809   ->   069    
589225   <-   052    
589909   ->   072    
590341   <-   050    
590976   ->   069    
591358   <-   057    
591958   ->   068    
592392   <-   055    
592975   ->   070    
593409   <-   038    
594258   ->   076    
594592   <-   061    
595241   ->   076    
595625   <-   045    
596525   ->   044    
596858   <-   050    
597542   ->   041    
598308   <-   047    
599009   ->   063    
599476   <-   057    
600092   ->   065    
600508   <-   060    
601059   ->   063    
601491   <-   053    
602142   ->   044    
602809   <-   058    
603292   ->   069    
603676   <-   061    
604224   ->   060    
604725   <-   064    
605208   ->   063    
605674   <-   065    
606192   ->   058    
606643   <-   047    
607392   ->   055    
607775   <-   060    
608341   ->   049    
609076   <-   060    
610542   <-   067    
610958   ->   039    
611725   <-   070    
612159   ->   042    
612875   <-   076    
613259   ->   039    
614025   <-   070    
614508   ->   043    
615159   <-   077    
615543   ->   038    
616425   <-   041    
617225   ->   054    
617843   <-   037    
619541   <-   045    
620309   ->   035    
621193   <-   050    
621875   ->   070    
622326   <-   062    
622958   ->   073    
623342   <-   042    
624141   ->   066    
624576   <-   048    



